,Date,Followers - (change),Following - (change),Posts - (change),Influence - (change)
255,"June 16, 2020","18,346,666 - (-2,090)","3,797 - (0)","1,991 - (0)",0.85% - (0.00%)
256,"June 15, 2020","18,348,756 - (-724)","3,797 - (0)","1,991 - (0)",0.85% - (+0.01%)
257,"June 13, 2020","18,349,480 - (-992)","3,797 - (0)","1,991 - (0)",0.84% - (0.00%)
258,"June 13, 2020","18,350,472 - (-141)","3,797 - (+2)","1,991 - (0)",0.84% - (+0.01%)
259,"June 13, 2020","18,350,613 - (-519)","3,795 - (0)","1,991 - (0)",0.83% - (+0.01%)
260,"June 12, 2020","18,351,132 - (-2,361)","3,795 - (-1)","1,991 - (+1)",0.82% - (+0.03%)
261,"June 11, 2020","18,353,493 - (+694)","3,796 - (0)","1,990 - (0)",0.79% - (+0.01%)
262,"June 11, 2020","18,352,799 - (-732)","3,796 - (0)","1,990 - (0)",0.78% - (0.00%)
263,"June 11, 2020","18,353,531 - (-8)","3,796 - (+2)","1,990 - (0)",0.78% - (0.00%)
264,"June 11, 2020","18,353,539 - (+310)","3,794 - (+8)","1,990 - (0)",0.78% - (0.00%)
265,"June 10, 2020","18,353,229 - (-658)","3,786 - (0)","1,990 - (0)",0.78% - (0.00%)
266,"June 10, 2020","18,353,887 - (+25)","3,786 - (+3)","1,990 - (0)",0.78% - (0.00%)
267,"June 9, 2020","18,353,862 - (-973)","3,783 - (0)","1,990 - (0)",0.78% - (0.00%)
268,"June 7, 2020","18,354,835 - (-457)","3,783 - (0)","1,990 - (0)",0.78% - (0.00%)
269,"June 7, 2020","18,355,292 - (-124)","3,783 - (-1)","1,990 - (0)",0.78% - (0.00%)
270,"June 6, 2020","18,355,416 - (+166)","3,784 - (0)","1,990 - (0)",0.78% - (0.00%)
271,"June 6, 2020","18,355,250 - (-468)","3,784 - (0)","1,990 - (0)",0.78% - (0.00%)
272,"June 6, 2020","18,355,718 - (-439)","3,784 - (+1)","1,990 - (0)",0.78% - (0.00%)
273,"June 6, 2020","18,356,157 - (+108)","3,783 - (0)","1,990 - (0)",0.78% - (0.00%)
274,"June 5, 2020","18,356,049 - (+662)","3,783 - (0)","1,990 - (0)",0.78% - (+0.01%)
275,"June 5, 2020","18,355,387 - (-4,455)","3,783 - (0)","1,990 - (+1)",0.77% - (-0.02%)
276,"June 4, 2020","18,359,842 - (-1,601)","3,783 - (0)","1,989 - (0)",0.79% - (+0.02%)
277,"June 2, 2020","18,361,443 - (-3,635)","3,783 - (-5)","1,989 - (+2)",0.77% - (+0.01%)
278,"May 30, 2020","18,365,078 - (+73)","3,788 - (0)","1,987 - (0)",0.76% - (+0.01%)
279,"May 30, 2020","18,365,005 - (+9)","3,788 - (0)","1,987 - (0)",0.75% - (0.00%)
280,"May 30, 2020","18,364,996 - (+36)","3,788 - (-1)","1,987 - (0)",0.75% - (0.00%)
281,"May 30, 2020","18,364,960 - (+66)","3,789 - (0)","1,987 - (0)",0.75% - (0.00%)
